nation,date,Region,Total Population,GDP/Person (PPP$),Life Expectancy (y),Log(Total Population),Log(GDP/Person [PPP$])
Turkey,1880,Europe & Central Asia,,1109.949598,,,3.045303258
Turkey,1890,Europe & Central Asia,,1263.013535,,,3.101408005
Turkey,1900,Europe & Central Asia,,1437.185249,,,3.157512751
Turkey,1910,Europe & Central Asia,,1635.375539,,,3.213617498
Turkey,1920,Europe & Central Asia,,1142.217342,,,3.05774875
Turkey,1930,Europe & Central Asia,"14,928,000",1648.378563,35,7.174001626,3.217056958
Turkey,1940,Europe & Central Asia,"17,821,000",2133.462676,,7.25093207,3.329085049
Turkey,1950,Europe & Central Asia,"21,238,496",1994.791832,40.171,7.327123759,3.299897581
Turkey,1960,Europe & Central Asia,"28,160,579",2666.1651,45.372,7.44964158,3.425887039
Turkey,1970,Europe & Central Asia,"35,464,196",3524.40755,52.291,7.549790119,3.547086123
Turkey,1980,Europe & Central Asia,"44,105,216",4436.960547,58.668,7.644489953,3.647085567
Turkey,1990,Europe & Central Asia,"54,130,268",5807.686108,64.259,7.733440177,3.764003136
Turkey,2000,Europe & Central Asia,"63,627,862",6803.286822,70.01,7.80364733,3.832718781
Turkey,2010,Europe & Central Asia,"72,752,325",8556.033519,74.274,7.861846877,3.932272477
Afghanistan,1800,South Asia,"3,280,000",472.0534996,28.211,6.515873844,2.673991222
Afghanistan,1810,South Asia,,,,,
Afghanistan,1820,South Asia,"3,280,000",472.0534996,,6.515873844,2.673991222
Afghanistan,1830,South Asia,,,,,
Afghanistan,1840,South Asia,,,,,
Afghanistan,1850,South Asia,,,,,
Afghanistan,1860,South Asia,,,,,
Afghanistan,1870,South Asia,"4,207,000",,,6.623972512,
Afghanistan,1880,South Asia,,,,,
Afghanistan,1890,South Asia,,,,,
Afghanistan,1900,South Asia,,,,,
Afghanistan,1910,South Asia,,,,,
Afghanistan,1920,South Asia,,,,,
Afghanistan,1930,South Asia,,,,,
Afghanistan,1940,South Asia,,,,,
Afghanistan,1950,South Asia,"8,151,455",757.3187954,26.674,6.911235135,2.879278735
Afghanistan,1960,South Asia,"9,671,046",868.4982226,31.575,6.985473449,2.938768934
Afghanistan,1970,South Asia,"11,964,906",833.3159234,36.663,7.077909291,2.920809681
Afghanistan,1980,South Asia,"14,185,729",810.4316249,41.242,7.151851659,2.90871638
Afghanistan,1990,South Asia,"13,032,161",709.5049419,48.601,7.115016437,2.850955425
Afghanistan,2000,South Asia,"22,856,302",663.9098777,54.863,7.359005966,2.82210913
Afghanistan,2010,South Asia,"31,411,743",1214.613653,59.612,7.497092036,3.084438159
Ireland,1800,Europe & Central Asia,"4,064,749",1213.164837,37.7,6.609033733,3.083919814
Ireland,1810,Europe & Central Asia,,1233.997842,,,3.0913144
Ireland,1820,Europe & Central Asia,"5,052,603",1255.1886,,6.703515176,3.098708986
Ireland,1830,Europe & Central Asia,"5,569,177",1445.118607,,6.745791021,3.159903493
Ireland,1840,Europe & Central Asia,"5,940,598",1663.788048,,6.773830165,3.221098
Ireland,1850,Europe & Central Asia,"4,893,931",1550,35,6.689657842,3.190331698
Ireland,1860,Europe & Central Asia,"4,141,840",2205.398192,,6.617193318,3.343487014
Ireland,1870,Europe & Central Asia,"3,855,803",2539.110031,,6.586114837,3.404681521
Ireland,1880,Europe & Central Asia,"3,702,112",2807.911105,,6.568449553,3.448383354
Ireland,1890,Europe & Central Asia,"3,357,018",3105.168614,,6.52595367,3.492085188
Ireland,1900,Europe & Central Asia,"3,179,846",3433.895078,,6.502406088,3.535787021
Ireland,1910,Europe & Central Asia,"3,120,077",3797.421934,,6.494165312,3.579488855
Ireland,1920,Europe & Central Asia,"3,103,000",3657.935293,,6.491781776,3.563236019
Ireland,1930,Europe & Central Asia,"2,927,000",4144.230258,,6.466422722,3.617443877
Ireland,1940,Europe & Central Asia,"2,958,000",4365.802932,,6.47099817,3.640064128
Ireland,1950,Europe & Central Asia,"2,913,093",4939.17646,65.61,6.46435435,3.693654542
Ireland,1960,Europe & Central Asia,"2,828,866",6125.349532,70.23,6.451612376,3.787130876
Ireland,1970,Europe & Central Asia,"2,963,020",8867.964988,70.89,6.471734583,3.94782397
Ireland,1980,Europe & Central Asia,"3,417,798",12217.02325,72.6,6.533746391,4.0869654
Ireland,1990,Europe & Central Asia,"3,531,219",16904.61273,74.98,6.547924653,4.228005226
Ireland,2000,Europe & Central Asia,"3,803,780",30827.97684,76.66,6.580215391,4.488945024
Ireland,2010,Europe & Central Asia,"4,469,900",35257.17453,80.151,6.650297807,4.547247505
Eritrea,1800,Sub-Saharan Africa,"205,010",583.9505885,30.2,5.311775046,2.7663761
Eritrea,1810,Sub-Saharan Africa,,,,,
Eritrea,1820,Sub-Saharan Africa,"205,010",583.9505885,,5.311775046,2.7663761
Eritrea,1830,Sub-Saharan Africa,,,,,
Eritrea,1840,Sub-Saharan Africa,,,,,
Eritrea,1850,Sub-Saharan Africa,,,,,
Eritrea,1860,Sub-Saharan Africa,,,,,
Eritrea,1870,Sub-Saharan Africa,,,,,
Eritrea,1880,Sub-Saharan Africa,,,,,
Eritrea,1890,Sub-Saharan Africa,,,,,
Eritrea,1900,Sub-Saharan Africa,,,,,
Eritrea,1910,Sub-Saharan Africa,,,,,
Eritrea,1920,Sub-Saharan Africa,,,,,
Eritrea,1930,Sub-Saharan Africa,,,,,
Eritrea,1940,Sub-Saharan Africa,,,,,
Eritrea,1950,Sub-Saharan Africa,"1,141,300",321.6243826,35.462,6.057399817,2.507348966
Eritrea,1960,Sub-Saharan Africa,"1,423,599",362.8203915,37.371,6.153387674,2.559691688
Eritrea,1970,Sub-Saharan Africa,"1,847,000",490.3814538,40.529,6.266466895,2.690534037
Eritrea,1980,Sub-Saharan Africa,"2,468,902",534.4297197,43.34,6.392503851,2.727890601
Eritrea,1990,Sub-Saharan Africa,"3,158,295",476.6234731,48.249,6.499452693,2.678175427
Eritrea,2000,Sub-Saharan Africa,"3,667,576",741.5657451,56.131,6.564379122,2.87014966
Eritrea,2010,Sub-Saharan Africa,"5,253,676",561.0500065,61.275,6.720463286,2.749001572
Solomon Islands,1800,East Asia & Pacific,"56,998",387.8108926,25.7,4.755859617,2.588620003
Solomon Islands,1810,East Asia & Pacific,,,,,
Solomon Islands,1820,East Asia & Pacific,"56,998",387.8108926,,4.755859617,2.588620003
Solomon Islands,1830,East Asia & Pacific,,,,,
Solomon Islands,1840,East Asia & Pacific,,,,,
Solomon Islands,1850,East Asia & Pacific,,,,,
Solomon Islands,1860,East Asia & Pacific,,,,,
Solomon Islands,1870,East Asia & Pacific,,,,,
Solomon Islands,1880,East Asia & Pacific,,,,,
Solomon Islands,1890,East Asia & Pacific,,,,,
Solomon Islands,1900,East Asia & Pacific,,,,,
Solomon Islands,1910,East Asia & Pacific,,,,,
Solomon Islands,1920,East Asia & Pacific,,,,,
Solomon Islands,1930,East Asia & Pacific,,,,,
Solomon Islands,1940,East Asia & Pacific,,,,,
Solomon Islands,1950,East Asia & Pacific,"106,647",,44.375,5.027948643,
Solomon Islands,1960,East Asia & Pacific,"126,363",,49.174,5.101619928,
Solomon Islands,1970,East Asia & Pacific,"160,256",1266.603808,54.253,5.204814299,3.102640789
Solomon Islands,1980,East Asia & Pacific,"229,235",1348.152389,58.778,5.360280927,3.129738986
Solomon Islands,1990,East Asia & Pacific,"309,527",1870.128585,56.661,5.490698538,3.271871468
Solomon Islands,2000,East Asia & Pacific,"408,732",1802.023615,62.808,5.61143864,3.255760478
Solomon Islands,2010,East Asia & Pacific,"538,148",1820.628849,67.027,5.730901731,3.26022142
Lebanon,1800,Middle East & North Africa,"332,000",932,29.7,5.521138084,2.969415912
Lebanon,1810,Middle East & North Africa,,,,,
Lebanon,1820,Middle East & North Africa,"332,000",932,,5.521138084,2.969415912
Lebanon,1830,Middle East & North Africa,,,,,
Lebanon,1840,Middle East & North Africa,,,,,
Lebanon,1850,Middle East & North Africa,,,,,
Lebanon,1860,Middle East & North Africa,,,,,
Lebanon,1870,Middle East & North Africa,"476,000",1416.25801,,5.677606953,3.151142379
Lebanon,1880,Middle East & North Africa,,,,,
Lebanon,1890,Middle East & North Africa,,,,,
Lebanon,1900,Middle East & North Africa,,,,,
Lebanon,1910,Middle East & North Africa,,,,,
Lebanon,1920,Middle East & North Africa,,,,,
Lebanon,1930,Middle East & North Africa,,,,,
Lebanon,1940,Middle East & North Africa,,,29.7,,
Lebanon,1950,Middle East & North Africa,"1,442,826",5318.454441,59.586,6.15921396,3.725785443
Lebanon,1960,Middle East & North Africa,"1,907,573",5416.835365,63.267,6.280481167,3.733745636
Lebanon,1970,Middle East & North Africa,"2,464,286",6827.407617,66.067,6.39169111,3.834255832
Lebanon,1980,Middle East & North Africa,"2,794,638",8532.759576,67.954,6.44632556,3.931089509
Lebanon,1990,Middle East & North Africa,"2,948,372",4849.201009,70.222,6.469582278,3.685670187
Lebanon,2000,Middle East & North Africa,"3,742,329",8809.991336,74.409,6.573141965,3.944975481
Lebanon,2010,Middle East & North Africa,"4,227,597",13657.99158,79.11,6.626093581,4.135386841
French Polynesia,1800,East Asia & Pacific,"62,530",809.3444716,,4.796088429,2.908133405
French Polynesia,1810,East Asia & Pacific,,,,,
French Polynesia,1820,East Asia & Pacific,,809.3444716,,,2.908133405
French Polynesia,1830,East Asia & Pacific,,,,,
French Polynesia,1840,East Asia & Pacific,,,,,
French Polynesia,1850,East Asia & Pacific,"62,000",,,4.792391689,
French Polynesia,1860,East Asia & Pacific,,,,,
French Polynesia,1870,East Asia & Pacific,,,,,
French Polynesia,1880,East Asia & Pacific,,,,,
French Polynesia,1890,East Asia & Pacific,,,,,
French Polynesia,1900,East Asia & Pacific,"30,000",,,4.477121255,
French Polynesia,1910,East Asia & Pacific,,,,,
French Polynesia,1920,East Asia & Pacific,,,,,
French Polynesia,1930,East Asia & Pacific,,,,,
French Polynesia,1940,East Asia & Pacific,,,,,
French Polynesia,1950,East Asia & Pacific,"60,696",6931.994766,45.598,4.783160071,3.840858226
French Polynesia,1960,East Asia & Pacific,"79,335",,56.282,4.899464826,
French Polynesia,1970,East Asia & Pacific,"110,872",14559.83071,60.184,5.044821882,4.163156325
French Polynesia,1980,East Asia & Pacific,"151,098",17487.1002,64.562,5.179258716,4.242717799
French Polynesia,1990,East Asia & Pacific,"195,383",23649.59366,68.7,5.290886774,4.373823683
French Polynesia,2000,East Asia & Pacific,"237,638",24659.00561,72.313,5.375915889,4.391975559
French Polynesia,2010,East Asia & Pacific,"270,764",26564.31526,75.618,5.432590921,4.424298626
France,1800,Europe & Central Asia,"29,355,111",1388.320685,32.4,7.467683727,3.142489794
France,1810,Europe & Central Asia,,1447.003691,37.4,,3.160469639
France,1820,Europe & Central Asia,"31,250,000",1508.167171,39.21,7.494850022,3.178449483
France,1830,Europe & Central Asia,"33,300,000",1478.205027,39.56,7.522444234,3.169734675
France,1840,Europe & Central Asia,"34,900,000",1833.292369,40.37,7.542825427,3.263231731
France,1850,Europe & Central Asia,"36,350,000",1840.714736,43.28,7.560504415,3.264986489
France,1860,Europe & Central Asia,"37,300,000",2704.030965,43.33,7.571708832,3.432011661
France,1870,Europe & Central Asia,"38,440,000",2952.123871,36.41,7.584783379,3.470134577
France,1880,Europe & Central Asia,"39,045,000",3251.846022,42.73,7.591565427,3.512129973
France,1890,Europe & Central Asia,"40,014,000",3400.858655,43.36,7.602211968,3.531588582
France,1900,Europe & Central Asia,"40,598,000",4120.19673,45.08,7.608504639,3.614917953
France,1910,Europe & Central Asia,"41,224,000",4431.66992,51.37,7.615150129,3.646567406
France,1920,Europe & Central Asia,"39,000,000",4363.660046,51.6,7.591064607,3.639850909
France,1930,Europe & Central Asia,"41,610,000",6404.853506,56.87,7.619197716,3.806509201
France,1940,Europe & Central Asia,"41,000,000",4419.431893,49.45,7.612783857,3.645366445
France,1950,Europe & Central Asia,"41,831,805",7104.007325,66.39,7.621506604,3.851503401
France,1960,Europe & Central Asia,"45,688,594",10244.42072,70.4,7.659807793,4.010487406
France,1970,Europe & Central Asia,"50,763,212",15703.71339,72.16,7.705549094,4.19600236
France,1980,Europe & Central Asia,"53,880,143",20334.46855,74.35,7.73142874,4.308232826
France,1990,Europe & Central Asia,"56,708,260",24676.73365,76.98,7.753646322,4.392287674
France,2000,Europe & Central Asia,"59,047,795",28636.15436,79.23,7.771203685,4.456914695
France,2010,Europe & Central Asia,"62,787,427",29691.24163,81.35,7.797872686,4.472628359
Rwanda,1800,Sub-Saharan Africa,"928,368",368.9970394,31.8,5.967720162,2.567022882
Rwanda,1810,Sub-Saharan Africa,,,,,
Rwanda,1820,Sub-Saharan Africa,"928,368",368.9970394,,5.967720162,2.567022882
Rwanda,1830,Sub-Saharan Africa,,,,,
Rwanda,1840,Sub-Saharan Africa,,,,,
Rwanda,1850,Sub-Saharan Africa,,,,,
Rwanda,1860,Sub-Saharan Africa,,,,,
Rwanda,1870,Sub-Saharan Africa,,,,,
Rwanda,1880,Sub-Saharan Africa,,,,,
Rwanda,1890,Sub-Saharan Africa,,,,,
Rwanda,1900,Sub-Saharan Africa,,,,,
Rwanda,1910,Sub-Saharan Africa,,,,,
Rwanda,1920,Sub-Saharan Africa,,,,,
Rwanda,1930,Sub-Saharan Africa,,,31.8,,
Rwanda,1940,Sub-Saharan Africa,,,,,
Rwanda,1950,Sub-Saharan Africa,"2,072,195",470.3074334,39.408,6.316430621,2.672381843
Rwanda,1960,Sub-Saharan Africa,"2,771,018",564.2188812,42.283,6.442639347,2.751447615
Rwanda,1970,Sub-Saharan Africa,"3,748,672",616.3824718,44.402,6.573877442,2.78985028
Rwanda,1980,Sub-Saharan Africa,"5,178,927",818.7091971,45.883,6.714239789,2.913129669
Rwanda,1990,Sub-Saharan Africa,"7,109,538",760.7426427,48.529,6.85184138,2.881237761
Rwanda,2000,Sub-Saharan Africa,"8,098,344",704.0365299,47.682,6.908396221,2.847595194
Rwanda,2010,Sub-Saharan Africa,"10,624,005",1094.057911,62.276,7.026288266,3.039040311
Somalia,1800,Sub-Saharan Africa,"991,488",498.8337845,29.4,5.996287462,2.697955859
Somalia,1810,Sub-Saharan Africa,,,,,
Somalia,1820,Sub-Saharan Africa,"1,000,000",498.8337845,,6,2.697955859
Somalia,1830,Sub-Saharan Africa,,,,,
Somalia,1840,Sub-Saharan Africa,,,,,
Somalia,1850,Sub-Saharan Africa,,,,,
Somalia,1860,Sub-Saharan Africa,,,,,
Somalia,1870,Sub-Saharan Africa,,,,,
Somalia,1880,Sub-Saharan Africa,,,,,
Somalia,1890,Sub-Saharan Africa,,,,,
Somalia,1900,Sub-Saharan Africa,,,,,
Somalia,1910,Sub-Saharan Africa,,,,,
Somalia,1920,Sub-Saharan Africa,,,,,
Somalia,1930,Sub-Saharan Africa,,,,,
Somalia,1940,Sub-Saharan Africa,,,,,
Somalia,1950,Sub-Saharan Africa,"2,264,081",1079.207231,33.178,6.35489196,3.033104847
Somalia,1960,Sub-Saharan Africa,"2,819,246",1304.433808,36.977,6.450132973,3.115422046
Somalia,1970,Sub-Saharan Africa,"3,601,206",1162.594196,40.958,6.556447965,3.065428151
Somalia,1980,Sub-Saharan Africa,"6,435,589",1059.161404,44.747,6.808588301,3.024962147
Somalia,1990,Sub-Saharan Africa,"6,599,249",1106.428383,45.407,6.819494515,3.043923308
Somalia,2000,Sub-Saharan Africa,"7,399,033",881.513623,50.902,6.869174964,2.945229028
Somalia,2010,Sub-Saharan Africa,"9,330,872",948.4843629,53,6.969922232,2.977030175
Peru,1800,America,"1,314,151",697.3002156,35.7,6.11864527,2.843419799
Peru,1810,America,,,,,
Peru,1820,America,"1,317,000",697.3002156,,6.119585775,2.843419799
Peru,1830,America,,,,,
Peru,1840,America,,,,,
Peru,1850,America,"2,001,000",,,6.301247089,
Peru,1860,America,,,,,
Peru,1870,America,"2,606,000",,,6.415974411,
Peru,1880,America,,,,,
Peru,1890,America,"3,346,000",,,6.524525937,
Peru,1900,America,"3,648,000",1036.350959,,6.56205483,3.015506854
Peru,1910,America,"4,137,000",1482.179832,,6.616685521,3.1709009
Peru,1920,America,"4,690,000",1852.869799,,6.671172843,3.267844903
Peru,1930,America,"5,480,000",2512.784182,,6.738780558,3.40015519
Peru,1940,America,"6,440,000",2887.155188,35.7,6.808885867,3.460470128
Peru,1950,America,"7,632,461",3486.911299,43.113,6.882664594,3.5424409
Peru,1960,America,"9,929,439",4486.392408,47.692,6.996924712,3.651897257
Peru,1970,America,"13,187,182",5823.864669,53.455,7.120152,3.765211275
Peru,1980,America,"17,286,832",6441.290571,60.063,7.237715411,3.808972891
Peru,1990,America,"21,685,537",4564.338626,65.535,7.336170181,3.659377857
Peru,2000,America,"25,861,887",5791.372109,70.506,7.41266021,3.76278147
Peru,2010,America,"29,076,512",8419.90566,73.912,7.463542308,3.925307226
Laos,1800,East Asia & Pacific,"470,000",748.5419779,31.9,5.672097858,2.87421616
Laos,1810,East Asia & Pacific,,,,,
Laos,1820,East Asia & Pacific,"470,000",748.5419779,,5.672097858,2.87421616
Laos,1830,East Asia & Pacific,,,,,
Laos,1840,East Asia & Pacific,,,,,
Laos,1850,East Asia & Pacific,,,,,
Laos,1860,East Asia & Pacific,,,,,
Laos,1870,East Asia & Pacific,"755,000",,,5.877946952,
Laos,1880,East Asia & Pacific,,,,,
Laos,1890,East Asia & Pacific,,,,,
Laos,1900,East Asia & Pacific,,,,,
Laos,1910,East Asia & Pacific,,,,,
Laos,1920,East Asia & Pacific,,,,,
Laos,1930,East Asia & Pacific,,,,,
Laos,1940,East Asia & Pacific,,,31.9,,
Laos,1950,East Asia & Pacific,"1,682,917",773.424819,40.328,6.226062697,2.888418104
Laos,1960,East Asia & Pacific,"2,129,968",856.7453444,43.191,6.328373079,2.932851753
Laos,1970,East Asia & Pacific,"2,691,207",943.4225206,46.256,6.429947104,2.974706239
Laos,1980,East Asia & Pacific,"3,234,555",1105.43037,49.042,6.50981454,3.043531392
Laos,1990,East Asia & Pacific,"4,192,414",1172.379996,54.159,6.622464163,3.0690684
Laos,2000,East Asia & Pacific,"5,317,060",1518.254156,61.689,6.725671561,3.181344479
Laos,2010,East Asia & Pacific,"6,200,894",2466.641376,66.957,6.792454307,3.392106012
Norway,1800,Europe & Central Asia,"868,570",950,38.8,5.938804825,2.977723605
Norway,1810,Europe & Central Asia,,963.8402134,,,2.984005042
Norway,1820,Europe & Central Asia,"970,000",977.8820599,,5.986771734,2.990286479
Norway,1830,Europe & Central Asia,"1,124,000",1038.423609,,6.050766311,3.016374553
Norway,1840,Europe & Central Asia,"1,241,000",1185.228046,,6.093771781,3.07380192
Norway,1850,Europe & Central Asia,"1,392,000",1235.608693,49.53,6.143639235,3.091880955
Norway,1860,Europe & Central Asia,"1,596,000",1497.54042,50,6.203032887,3.175378553
Norway,1870,Europe & Central Asia,"1,735,000",1826.325476,50.86,6.239299479,3.261578177
Norway,1880,Europe & Central Asia,"1,919,000",2076.500883,51.91,6.283074975,3.31733212
Norway,1890,Europe & Central Asia,"1,997,000",2384.524363,48.6,6.300378065,3.377401764
Norway,1900,Europe & Central Asia,"2,230,000",2668.082466,53.47,6.348304863,3.426199249
Norway,1910,Europe & Central Asia,"2,384,000",3167.537959,57.99,6.377306251,3.500721828
Norway,1920,Europe & Central Asia,"2,635,000",4045.306141,58.89,6.42078062,3.606951394
Norway,1930,Europe & Central Asia,"2,807,000",5459.853689,64.11,6.448242413,3.737181005
Norway,1940,Europe & Central Asia,"2,973,000",6195.386527,65.89,6.473194909,3.792068407
Norway,1950,Europe & Central Asia,"3,265,000",8490.320118,71.6,6.513883186,3.928924065
Norway,1960,Europe & Central Asia,"3,580,998",11481.31421,73.58,6.554004078,4.059991602
Norway,1970,Europe & Central Asia,"3,877,383",16288.7192,74.08,6.588538702,4.211886937
Norway,1980,Europe & Central Asia,"4,085,621",24961.13036,75.65,6.611258077,4.397264248
Norway,1990,Europe & Central Asia,"4,241,485",31161.75439,76.41,6.627517935,4.4936219
Norway,2000,Europe & Central Asia,"4,490,859",43174.48117,78.76,6.65232942,4.635227127
Norway,2010,Europe & Central Asia,"4,883,111",46595.82113,81.064,6.688696597,4.668346969
Malawi,1800,Sub-Saharan Africa,"737,000",360,30.3,5.867467488,2.556302501
Malawi,1810,Sub-Saharan Africa,,,,,
Malawi,1820,Sub-Saharan Africa,,360,,,2.556302501
Malawi,1830,Sub-Saharan Africa,,,,,
Malawi,1840,Sub-Saharan Africa,,,,,
Malawi,1850,Sub-Saharan Africa,,,,,
Malawi,1860,Sub-Saharan Africa,,,,,
Malawi,1870,Sub-Saharan Africa,,,,,
Malawi,1880,Sub-Saharan Africa,,,,,
Malawi,1890,Sub-Saharan Africa,,,,,
Malawi,1900,Sub-Saharan Africa,,,,,
Malawi,1910,Sub-Saharan Africa,,,,,
Malawi,1920,Sub-Saharan Africa,,,,,
Malawi,1930,Sub-Saharan Africa,,,,,
Malawi,1940,Sub-Saharan Africa,,,,,
Malawi,1950,Sub-Saharan Africa,"2,880,700",352.4694804,36.024,6.459498033,2.547121518
Malawi,1960,Sub-Saharan Africa,"3,525,246",428.704437,37.857,6.547189428,2.632157978
Malawi,1970,Sub-Saharan Africa,"4,531,280",488.7188396,40.64,6.656220899,2.689059081
Malawi,1980,Sub-Saharan Africa,"6,239,898",700.0665941,44.417,6.795177491,2.845139354
Malawi,1990,Sub-Saharan Africa,"9,380,892",602.7156286,47.17,6.972244136,2.780112453
Malawi,2000,Sub-Saharan Africa,"11,228,756",713.7750078,46.04,7.050331645,2.853561337
Malawi,2010,Sub-Saharan Africa,"14,900,841",844.4226901,53.536,7.173210781,2.926559895
Benin,1800,Sub-Saharan Africa,"636,559",553.7183009,31,5.803838663,2.743288878
Benin,1810,Sub-Saharan Africa,,,,,
Benin,1820,Sub-Saharan Africa,"636,559",553.7183009,,5.803838663,2.743288878
Benin,1830,Sub-Saharan Africa,,,,,
Benin,1840,Sub-Saharan Africa,,,,,
Benin,1850,Sub-Saharan Africa,,,,,
Benin,1860,Sub-Saharan Africa,,,,,
Benin,1870,Sub-Saharan Africa,,,,,
Benin,1880,Sub-Saharan Africa,,,,,
Benin,1890,Sub-Saharan Africa,,,,,
Benin,1900,Sub-Saharan Africa,,,,,
Benin,1910,Sub-Saharan Africa,,,,,
Benin,1920,Sub-Saharan Africa,,,,,
Benin,1930,Sub-Saharan Africa,,,,,
Benin,1940,Sub-Saharan Africa,,,,,
Benin,1950,Sub-Saharan Africa,"2,255,222",1104.46653,32.696,6.353189299,3.043152559
Benin,1960,Sub-Saharan Africa,"2,419,644",996.92542,37.263,6.383751473,2.99866267
Benin,1970,Sub-Saharan Africa,"2,849,508",1047.170296,42.38,6.454769881,3.020017315
Benin,1980,Sub-Saharan Africa,"3,610,578",1154.234615,47.283,6.557576732,3.062294094
Benin,1990,Sub-Saharan Africa,"4,773,137",1165.469339,53.517,6.6788039,3.066500853
Benin,2000,Sub-Saharan Africa,"6,517,810",1307.568232,55.261,6.814101696,3.116464361
Benin,2010,Sub-Saharan Africa,"8,849,892",1438.986214,58.797,6.946937971,3.158056633
Cuba,1800,America,"345,043",1123.879484,32.2,5.537873221,3.050719743
Cuba,1810,America,,,,,
Cuba,1820,America,"605,000",1123.879484,,5.781755375,3.050719743
Cuba,1830,America,,,,,
Cuba,1840,America,,,,,
Cuba,1850,America,"1,186,000",,,6.074084689,
Cuba,1860,America,,,,,
Cuba,1870,America,"1,331,000",,,6.124178055,
Cuba,1880,America,,,,,
Cuba,1890,America,,,,,
Cuba,1900,America,"1,658,000",,33.11248,6.219584526,
Cuba,1910,America,"2,219,000",,35.21936,6.346157302,
Cuba,1920,America,"2,997,000",,37.38208,6.476686743,
Cuba,1930,America,"3,837,000",3811.081152,41.49528,6.583991799,3.581048197
Cuba,1940,America,"4,566,000",3058.448427,47.4716,6.659535907,3.485501162
Cuba,1950,America,"5,919,997",5180.436272,58.225,6.772321487,3.714366336
Cuba,1960,America,"7,133,582",5194.754416,63.834,6.853307658,3.715565021
Cuba,1970,America,"8,701,886",4854.329087,69.811,6.939613389,3.686129215
Cuba,1980,America,"9,812,223",6695.012746,73.803,6.99176741,3.825751408
Cuba,1990,America,"10,570,328",7463.689531,74.646,7.024088464,3.872953566
Cuba,2000,America,"11,104,313",6115.593942,76.684,7.045491695,3.786438642
Cuba,2010,America,"11,257,979",9626.113792,78.736,7.051460434,3.983450991
Eritrea and Ethiopia,1800,Sub-Saharan Africa,"3,034,180",,,6.482041341,
Eritrea and Ethiopia,1810,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1820,Sub-Saharan Africa,"3,154,000",,,6.498861689,
Eritrea and Ethiopia,1830,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1840,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1850,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1860,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1870,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1880,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1890,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1900,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1910,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1920,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1930,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1940,Sub-Saharan Africa,,,,,
Eritrea and Ethiopia,1950,Sub-Saharan Africa,"21,577,072",,,7.333992511,
Eritrea and Ethiopia,1960,Sub-Saharan Africa,"25,783,370",,,7.411339681,
Eritrea and Ethiopia,1970,Sub-Saharan Africa,"31,628,964",,,7.500084967,
Eritrea and Ethiopia,1980,Sub-Saharan Africa,"38,605,198",,,7.586645784,
Eritrea and Ethiopia,1990,Sub-Saharan Africa,"51,193,511",,,7.709214916,
Eritrea and Ethiopia,2000,Sub-Saharan Africa,"69,046,633",,,7.839142505,
Eritrea and Ethiopia,2010,Sub-Saharan Africa,,,,,
Botswana,1800,Sub-Saharan Africa,"121,000",407.3593419,33.6,5.08278537,2.60997768
Botswana,1810,Sub-Saharan Africa,,,,,
Botswana,1820,Sub-Saharan Africa,,407.3593419,,,2.60997768
Botswana,1830,Sub-Saharan Africa,,,,,
Botswana,1840,Sub-Saharan Africa,,,,,
Botswana,1850,Sub-Saharan Africa,,,,,
Botswana,1860,Sub-Saharan Africa,,,,,
Botswana,1870,Sub-Saharan Africa,,,,,
Botswana,1880,Sub-Saharan Africa,,,,,
Botswana,1890,Sub-Saharan Africa,,,,,
Botswana,1900,Sub-Saharan Africa,,,,,
Botswana,1910,Sub-Saharan Africa,,,,,
Botswana,1920,Sub-Saharan Africa,,,,,
Botswana,1930,Sub-Saharan Africa,,,,,
Botswana,1940,Sub-Saharan Africa,,,,,
Botswana,1950,Sub-Saharan Africa,"412,533",825.2511804,46.829,5.615458695,2.916586154
Botswana,1960,Sub-Saharan Africa,"523,997",953.2611538,50.654,5.719328801,2.979211896
Botswana,1970,Sub-Saharan Africa,"692,959",1532.709932,54.759,5.84070754,3.185459972
Botswana,1980,Sub-Saharan Africa,"996,211",4178.480351,60.859,5.998351333,3.621018364
Botswana,1990,Sub-Saharan Africa,"1,382,371",7829.231189,63.068,6.140624614,3.893719118
Botswana,2000,Sub-Saharan Africa,"1,757,925",10107.98689,50.567,6.245000342,4.00466467
Botswana,2010,Sub-Saharan Africa,"2,006,945",13181.34202,46.588,6.302535471,4.119959629
Montenegro,1800,Europe & Central Asia,"126,582",1112.357541,35.4,5.102371953,3.046244403
Montenegro,1810,Europe & Central Asia,,,,,
Montenegro,1820,Europe & Central Asia,"126,582",1135.692329,,5.102371953,3.055260692
Montenegro,1830,Europe & Central Asia,,,,,
Montenegro,1840,Europe & Central Asia,,,,,
